dataset,algo,permutation,accuracy,R_squared
iris,RFRegr,+,,0.9798
iris,RFRegr,-,,0.9691
iris,RFRegr,-,,0.9221
iris,RFRegr,-,,0.9709
iris,RFRegr,+,,0.9924
iris,RFRegr,+,,0.9579
iris,RFRegr,+,,0.7188
iris,RFRegr,-,,0.4166
iris,RFRegr,-,,0.9113
iris,RFRegr,+,,0.946
iris,RFRegr,-,,0.9529
iris,RFRegr,-,,0.6253
iris,RFRegr,+,,0.7706
iris,RFRegr,+,,0.9625
iris,RFRegr,-,,0.975
iris,RFRegr,-,,0.3753
iris,RFRegr,+,,0.6127
iris,RFRegr,+,,0.9796
iris,RFRegr,-,,0.8984
iris,RFRegr,+,,0.9362
iris,RFRegr,+,,0.8872
iris,RFRegr,+,,0.7745
iris,RFRegr,-,,0.7294
iris,RFRegr,-,,0.904
iris,RFRegr,-,,-0.1386
iris,RFRegr,-,,0.7243
iris,RFRegr,+,,0.8054
iris,RFRegr,+,,0.4778
iris,RFRegr,-,,0.9193
iris,RFRegr,-,,0.566
iris,RFRegr,+,,0.5849
iris,RFRegr,+,,0.9587
iris,LinRegr,+,,0.9815
iris,LinRegr,-,,0.9632
iris,LinRegr,-,,0.9298
iris,LinRegr,-,,0.9688
iris,LinRegr,+,,0.9687
iris,LinRegr,+,,0.952
iris,LinRegr,+,,0.6863
iris,LinRegr,-,,0.5179
iris,LinRegr,-,,0.9038
iris,LinRegr,+,,0.9428
iris,LinRegr,-,,0.9418
iris,LinRegr,-,,0.6338
iris,LinRegr,+,,0.791
iris,LinRegr,+,,0.9623
iris,LinRegr,-,,0.9617
iris,LinRegr,-,,0.2722
iris,LinRegr,+,,0.3915
iris,LinRegr,+,,0.9697
iris,LinRegr,-,,0.9141
iris,LinRegr,+,,0.9174
iris,LinRegr,-,,0.914
iris,LinRegr,-,,0.7897
iris,LinRegr,+,,0.7813
iris,LinRegr,+,,0.9343
iris,LinRegr,-,,0.0746
iris,LinRegr,-,,0.852
iris,LinRegr,+,,0.7721
iris,LinRegr,+,,0.3687
iris,LinRegr,-,,0.937
iris,LinRegr,-,,0.4487
iris,LinRegr,+,,0.5271
iris,LinRegr,+,,0.9631
iris,RFClf,-,0.9667,
iris,RFClf,+,0.9667,
iris,RFClf,-,0.9,
iris,RFClf,+,0.9333,
iris,RFClf,-,0.8333,
iris,RFClf,+,0.8667,
iris,RFClf,-,0.9667,
iris,RFClf,+,1.0,
iris,LogReg,-,0.9667,
iris,LogReg,+,0.9667,
iris,LogReg,+,0.9667,
iris,LogReg,-,0.9,
iris,LogReg,-,0.8667,
iris,LogReg,+,0.8667,
iris,LogReg,-,0.9667,
iris,LogReg,+,1.0,
abalone,RFRegr,+,,0.962
abalone,RFRegr,+,,0.9782
abalone,RFRegr,-,,0.9722
abalone,RFRegr,-,,0.9666
abalone,RFRegr,+,,0.9212
abalone,RFRegr,+,,0.9851
abalone,RFRegr,-,,0.9819
abalone,RFRegr,-,,0.9065
abalone,RFRegr,-,,0.9408
abalone,RFRegr,-,,0.9799
abalone,RFRegr,+,,0.9784
abalone,RFRegr,+,,0.9445
abalone,RFRegr,+,,0.7992
abalone,RFRegr,+,,0.9781
abalone,RFRegr,-,,0.9717
abalone,RFRegr,-,,0.7381
abalone,RFRegr,+,,0.9448
abalone,RFRegr,+,,0.978
abalone,RFRegr,-,,0.9759
abalone,RFRegr,-,,0.9454
abalone,RFRegr,+,,0.9916
abalone,RFRegr,+,,0.9721
abalone,RFRegr,-,,0.9717
abalone,RFRegr,-,,0.9905
abalone,RFRegr,+,,0.977
abalone,RFRegr,-,,0.9723
abalone,RFRegr,+,,0.9469
abalone,RFRegr,+,,0.98
abalone,RFRegr,-,,0.9794
abalone,RFRegr,-,,0.9466
abalone,RFRegr,-,,0.9523
abalone,RFRegr,-,,0.9732
abalone,RFRegr,+,,0.9792
abalone,RFRegr,+,,0.9526
abalone,RFRegr,+,,0.9696
abalone,RFRegr,+,,0.9781
abalone,RFRegr,-,,0.9788
abalone,RFRegr,-,,0.9656
abalone,LinRegr,-,,0.9589
abalone,LinRegr,-,,0.9778
abalone,LinRegr,+,,0.97
abalone,LinRegr,+,,0.9674
abalone,LinRegr,-,,0.8656
abalone,LinRegr,-,,0.9868
abalone,LinRegr,+,,0.9779
abalone,LinRegr,+,,0.9086
abalone,LinRegr,+,,0.9459
abalone,LinRegr,+,,0.9759
abalone,LinRegr,-,,0.9753
abalone,LinRegr,-,,0.9421
abalone,LinRegr,+,,0.8006
abalone,LinRegr,+,,0.9762
abalone,LinRegr,-,,0.9684
abalone,LinRegr,-,,0.8002
abalone,LinRegr,+,,0.9442
abalone,LinRegr,+,,0.9768
abalone,LinRegr,-,,0.9758
abalone,LinRegr,-,,0.9432
abalone,LinRegr,+,,0.993
abalone,LinRegr,+,,0.971
abalone,LinRegr,-,,0.9694
abalone,LinRegr,-,,0.9917
abalone,LinRegr,+,,0.9766
abalone,LinRegr,-,,0.9723
abalone,LinRegr,-,,0.9493
abalone,LinRegr,-,,0.9784
abalone,LinRegr,+,,0.9786
abalone,LinRegr,+,,0.9493
abalone,LinRegr,-,,0.954
abalone,LinRegr,-,,0.9729
abalone,LinRegr,+,,0.9791
abalone,LinRegr,+,,0.9511
abalone,LinRegr,+,,0.9716
abalone,LinRegr,+,,0.9762
abalone,LinRegr,-,,0.9765
abalone,LinRegr,-,,0.9642
abalone,RFClf,-,0.2156,
abalone,RFClf,+,0.2731,
abalone,LogReg,+,0.2551,
abalone,LogReg,-,0.2347,
diamonds,RFRegr,-,,0.8247
diamonds,RFRegr,-,,0.999
diamonds,RFRegr,+,,0.9987
diamonds,RFRegr,+,,0.9985
diamonds,RFRegr,+,,0.9719
diamonds,RFRegr,-,,0.9226
diamonds,RFRegr,-,,0.4887
diamonds,RFRegr,-,,0.9991
diamonds,RFRegr,+,,0.9989
diamonds,RFRegr,+,,0.5016
diamonds,RFRegr,+,,0.9875
diamonds,RFRegr,+,,0.9978
diamonds,RFRegr,-,,0.9978
diamonds,RFRegr,-,,0.984
diamonds,RFRegr,-,,0.9986
diamonds,RFRegr,+,,0.9989
diamonds,LinRegr,-,,0.8394
diamonds,LinRegr,-,,0.9717
diamonds,LinRegr,+,,0.9726
diamonds,LinRegr,+,,0.9974
diamonds,LinRegr,+,,0.4459
diamonds,LinRegr,-,,-2.436
diamonds,LinRegr,-,,0.1444
diamonds,LinRegr,-,,0.9716
diamonds,LinRegr,+,,0.975
diamonds,LinRegr,+,,0.1501
diamonds,LinRegr,+,,0.9809
diamonds,LinRegr,+,,0.9908
diamonds,LinRegr,-,,0.8884
diamonds,LinRegr,-,,0.9845
diamonds,LinRegr,-,,0.9977
diamonds,LinRegr,+,,0.9979
diamonds,RFClf,+,0.7726,
diamonds,RFClf,-,0.7485,
diamonds,RFClf,+,0.5651,
diamonds,RFClf,-,0.5519,
diamonds,LogReg,+,0.411,
diamonds,LogReg,-,0.3948,
diamonds,LogReg,+,0.2083,
diamonds,LogReg,-,0.204,
letter,RFClf,-,0.7502,
letter,RFClf,-,0.6852,
letter,RFClf,+,0.6735,
letter,RFClf,+,0.7678,
letter,RFClf,+,0.5492,
letter,RFClf,+,0.5903,
letter,RFClf,-,0.593,
letter,RFClf,-,0.5377,
letter,RFClf,-,0.7582,
letter,RFClf,-,0.7512,
letter,RFClf,+,0.7502,
letter,RFClf,+,0.7592,
letter,RFClf,-,0.71,
letter,RFClf,-,0.753,
letter,RFClf,+,0.76,
letter,RFClf,+,0.71,
letter,RFClf,+,0.6972,
letter,RFClf,+,0.7668,
letter,RFClf,-,0.7438,
letter,RFClf,-,0.698,
letter,LogReg,-,0.3762,
letter,LogReg,-,0.2945,
letter,LogReg,+,0.2982,
letter,LogReg,+,0.3838,
letter,LogReg,-,0.391,
letter,LogReg,-,0.4818,
letter,LogReg,+,0.4525,
letter,LogReg,+,0.4222,
letter,LogReg,+,0.3415,
letter,LogReg,+,0.372,
letter,LogReg,-,0.3815,
letter,LogReg,-,0.3258,
letter,LogReg,+,0.3718,
letter,LogReg,+,0.518,
letter,LogReg,-,0.4988,
letter,LogReg,-,0.3622,
letter,LogReg,+,0.3882,
letter,LogReg,+,0.393,
letter,LogReg,-,0.382,
letter,LogReg,-,0.371,
adult,RFClf,+,0.9122,
adult,RFClf,+,0.3441,
adult,RFClf,-,0.3401,
adult,RFClf,-,0.906,
adult,RFClf,+,0.8346,
adult,RFClf,+,0.9146,
adult,RFClf,-,0.9151,
adult,RFClf,-,0.8236,
adult,RFClf,+,0.4085,
adult,RFClf,+,0.8529,
adult,RFClf,-,0.8606,
adult,RFClf,-,0.3997,
adult,RFClf,-,0.3785,
adult,RFClf,-,0.3785,
adult,RFClf,+,0.3813,
adult,RFClf,+,0.3813,
adult,RFClf,+,0.9152,
adult,RFClf,+,0.8667,
adult,RFClf,-,0.8681,
adult,RFClf,-,0.9122,
adult,LogReg,+,0.9171,
adult,LogReg,+,0.1304,
adult,LogReg,-,0.1302,
adult,LogReg,-,0.9109,
adult,LogReg,+,0.7449,
adult,LogReg,+,0.9183,
adult,LogReg,-,0.9166,
adult,LogReg,-,0.7369,
adult,LogReg,+,0.4721,
adult,LogReg,+,0.8467,
adult,LogReg,-,0.853,
adult,LogReg,-,0.4648,
adult,LogReg,-,0.3174,
adult,LogReg,-,0.3173,
adult,LogReg,+,0.317,
adult,LogReg,+,0.318,
adult,LogReg,+,0.9185,
adult,LogReg,+,0.859,
adult,LogReg,-,0.852,
adult,LogReg,-,0.9146,
